Fecha,Conductividad,Carga motor M14,Carga motor M15,Presion 26,Presion 25,Temperatura 15,Temperatura 14,Estado
2006-11-15 04:00:00,3.3,60.6322821,34.7491601,20.5618396,20.6,78.3058348,103.2745459,0.0
2006-11-15 06:00:00,3.4,60.294861,34.5842784,20.7323928,20.6,78.2555093,103.0876224,0.0
2006-11-15 08:00:00,3.4,60.7124901,34.5608108,20.7521806,20.5,78.2643949,102.9668045,0.0
2006-11-15 10:00:00,3.4,65.3968809,34.4958731,20.7868784,20.4,78.342228,103.4502291,0.0
2006-11-15 12:00:00,3.5,63.8543224,34.4291138,20.7534071,20.3,78.1487507,103.5112965,0.0
2006-11-15 14:00:00,3.5,60.9435836,34.4079245,20.9010659,20.2,78.131305,103.2206328,0.0
2006-11-15 16:00:00,3.5,60.062955,34.4164732,20.6692441,20.6,78.2615427,103.2943429,0.0
2006-11-15 18:00:00,3.5,61.656642,34.4275162,20.7567283,20.4,78.1568579,103.6104007,0.0
2006-11-15 20:00:00,3.5,59.6774636,34.4161818,20.920457,20.5,78.2866612,103.3336891,0.0
2006-11-15 22:00:00,3.6,58.1912191,34.3569224,21.1138839,20.7,78.0729196,103.0648912,0.0
2006-11-16 00:00:00,5.4,61.7551077,33.9475728,21.0251415,20.5,76.8464889,103.2080345,0.0
2006-11-16 02:00:00,3.7,74.571724,36.4570323,19.9116848,19.4,76.8572186,103.0048488,0.0
2006-11-16 04:00:00,5.7,68.1905425,36.6295967,20.3309696,19.7,77.9390988,103.5498633,0.0
2006-11-16 06:00:00,3.6,76.0780985,37.4317911,20.9884844,20.8,77.3248969,103.2710794,0.0
2006-11-16 08:00:00,3.5,68.1815345,38.4802714,20.7733372,20.6,76.7131351,103.2013693,0.0
2006-11-16 10:00:00,3.4,63.125761,38.1051719,20.7777221,20.5,73.8164765,103.1247959,0.0
2006-11-16 12:00:00,3.4,65.8390211,37.9033885,20.8843463,20.4,72.8923873,103.6269623,0.0
2006-11-16 14:00:00,3.6,58.6009888,37.3518085,20.5661833,20.7,72.5949566,103.3116266,0.0
2006-11-16 16:00:00,3.6,59.3591591,37.3829913,20.9171323,20.6,72.8676962,103.3868601,0.0
2006-11-16 18:00:00,3.5,63.4431111,37.2781267,20.909261,20.7,72.8119714,103.3401503,0.0
2006-11-16 20:00:00,3.5,63.0497259,37.3987303,20.9207855,20.5,73.0127334,103.3557116,0.0
2006-11-16 22:00:00,3.3,60.028764,36.3778628,20.6326109,19.7,71.8627109,103.8447701,0.0
2006-11-17 00:00:00,3.4,53.644592,34.9633733,21.4178881,21.0,72.1655174,102.2759912,0.0
2006-11-17 02:00:00,4.9,70.7818317,34.8197131,20.8670856,20.5,73.956182,105.3013577,0.0
2006-11-17 04:00:00,3.4,74.0221993,36.4023981,19.7964282,19.6,77.2091717,106.9931017,0.0
2006-11-17 06:00:00,3.6,69.2237573,37.5183088,20.8398362,20.5,75.0650481,103.8505568,0.0
2006-11-17 08:00:00,3.5,63.2325559,37.5289691,21.1038592,20.5,72.9177403,103.7990383,0.0
2006-11-17 10:00:00,3.3,65.5887692,40.2561837,20.8739811,20.6,74.4822408,103.7966309,0.0
2006-11-17 12:00:00,3.3,61.026722,40.5404132,20.780835,20.5,75.5952019,103.9993048,0.0
2006-11-17 14:00:00,3.7,62.5986246,42.0388532,20.5976931,20.7,76.3003665,103.5760632,0.0
2006-11-17 16:00:00,3.2,60.9098349,44.887461,21.0738159,20.5,74.3747691,103.690182,0.0
2006-11-17 18:00:00,3.2,61.1182926,44.2057273,21.3913912,21.1,74.7543473,103.6543538,0.0
2006-11-17 20:00:00,3.2,70.7979733,44.0451635,21.105972,21.1,75.1475543,103.8892522,0.0
2006-11-17 22:00:00,3.3,62.9951,44.1230805,21.2421791,20.8,74.6179369,103.8004807,0.0
2006-11-18 00:00:00,3.3,66.4369763,42.0468429,21.3020076,21.1,74.553586,103.8972601,0.0
2006-11-18 02:00:00,3.3,69.929805,41.0880839,21.572967,21.2,75.0866982,103.9305387,0.0
2006-11-18 04:00:00,3.2,60.9033401,41.2077588,21.4516558,20.9,75.6022668,103.8071688,0.0
2006-11-18 06:00:00,3.4,61.8031101,41.7100073,21.4815149,21.1,74.9113902,103.9518036,0.0
2006-11-18 08:00:00,3.5,60.2192689,41.4516248,21.4155247,21.1,74.7295004,103.9559778,0.0
2006-11-18 10:00:00,3.5,60.8676998,40.3778577,21.1944137,21.0,75.6634356,103.7278694,0.0
2006-11-18 12:00:00,3.3,60.8781978,41.5684173,21.0173968,21.1,75.2510264,103.6264981,0.0
2006-11-18 14:00:00,3.3,59.3869445,41.4143247,21.0589906,21.2,75.756959,103.7124876,0.0
2006-11-18 16:00:00,3.1,62.4637614,40.1007572,20.8347215,20.9,75.8110146,103.7550446,0.0
2006-11-18 18:00:00,3.1,62.63335,40.9471276,21.1370914,21.2,78.2228755,103.4608791,0.0
2006-11-18 20:00:00,3.2,66.4543087,40.9179117,21.2109068,21.1,77.9243822,103.4737001,0.0
2006-11-18 22:00:00,3.2,66.0671191,41.4867319,21.2528253,21.0,78.3861079,104.3748189,0.0
